ID_CLIENTE,FECHA_SOLICITUD,EDAD,ESTADO_CIVIL,NIVEL_EDUCATIVO,SITUACION_LABORAL,TIPO_VIVIENDA,INGRESOS_MENSUALES,LINEA_CREDITO_TOTAL,SALDO_DEUDOR_TOTAL,NUM_ATRASOS_30_59_DIAS,NUM_ATRASOS_60_89_DIAS,NUM_ATRASOS_90_MAS_DIAS,NUM_CONSULTAS_CENTRAL
CLI_015026,2026-01-17,46,SOLTERO,SECUNDARIA,DEPENDIENTE,PROPIA,2296.6523099131846,28496.39,2609.59,0,1,0,0.0
CLI_015027,2026-03-04,30,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,7047.719880142438,47741.72,11497.03,0,0,0,0.0
CLI_015028,2026-03-21,30,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,3962.0121339565994,2700.08,1271.78,0,0,0,0.0
CLI_015029,2026-02-06,18,CASADO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,1534.6100441471935,9629.95,2390.72,0,0,0,0.0
CLI_015030,2026-02-04,52,CASADO,POSGRADO,DEPENDIENTE,HIPOTECA,3268.9261170411132,8659.54,1177.97,1,0,0,0.0
CLI_015031,2026-03-10,45,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,1556.0349550708393,22303.24,5916.3,0,0,0,1.0
CLI_015032,2026-01-10,23,CASADO,POSGRADO,DEPENDIENTE,PROPIA,11976.353662635714,21274.85,14330.17,0,0,0,1.0
CLI_015033,2026-03-01,26,DIVORCIADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,1912.72732292105,21545.86,9532.04,0,1,0,1.0
CLI_015034,2026-02-24,55,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,1855.1959083226811,9163.65,3803.26,0,0,0,
CLI_015035,2026-03-02,39,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,4499.946477533644,6616.3,3649.86,1,0,0,3.0
CLI_015036,2026-01-15,24,SOLTERO,POSGRADO,DEPENDIENTE,HIPOTECA,1211.778920220024,18988.36,6353.28,1,0,0,1.0
CLI_015037,2026-02-24,44,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,1953.3373062692135,1721.18,296.86,0,0,0,1.0
CLI_015038,2026-01-04,41,CASADO,UNIVERSITARIO,INDEPENDIENTE,PROPIA,12639.301686272192,24401.0,10934.83,1,0,0,1.0
CLI_015039,2026-03-16,49,CASADO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,1510.210521577034,10056.29,3915.09,1,0,0,3.0
CLI_015040,2026-03-07,29,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,5159.012244243003,9158.96,3914.73,0,0,0,1.0
CLI_015041,2026-01-11,54,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,,3578.34,1027.26,0,0,0,
CLI_015042,2026-01-29,56,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,1203.0440216113502,3503.01,111.7,0,0,0,3.0
CLI_015043,2026-02-13,25,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,6376.109991812796,2112.36,339.96,1,0,0,3.0
CLI_015044,2026-03-10,40,DIVORCIADO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,8299.020942336087,1977.2,503.77,1,0,0,0.0
CLI_015045,2026-01-08,23,CASADO,SECUNDARIA,DESEMPLEADO,ALQUILER,5818.555797845797,6621.42,1736.11,0,0,0,3.0
CLI_015046,2026-01-28,42,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,2020.4088641599715,5913.68,2826.86,0,0,0,0.0
CLI_015047,2026-03-19,40,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,2694.1126408114974,5387.08,1684.36,1,0,0,1.0
CLI_015048,2026-03-06,57,SOLTERO,UNIVERSITARIO,DESEMPLEADO,PROPIA,3858.966814728681,14091.39,2349.88,0,0,0,2.0
CLI_015049,2026-03-23,62,CASADO,SECUNDARIA,DEPENDIENTE,PROPIA,7923.86653698915,1548.98,159.82,0,0,0,0.0
CLI_015050,2026-01-14,60,SOLTERO,UNIVERSITARIO,DESEMPLEADO,ALQUILER,,9643.77,2088.02,0,0,0,0.0
CLI_015051,2026-03-27,48,CASADO,POSGRADO,DEPENDIENTE,HIPOTECA,1922.615674812692,15513.12,4626.97,0,0,0,2.0
CLI_015052,2026-01-04,25,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,5115.440760059568,6059.46,1144.9,0,0,0,1.0
CLI_015053,2026-01-14,49,SOLTERO,SECUNDARIA,INDEPENDIENTE,HIPOTECA,,8258.98,2513.97,0,0,0,5.0
CLI_015054,2026-02-10,39,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,,51622.74,24716.85,0,0,0,0.0
CLI_015055,2026-02-24,23,SOLTERO,SECUNDARIA,INDEPENDIENTE,HIPOTECA,3666.9570100296423,57622.72,2949.19,0,0,0,0.0
CLI_015056,2026-01-08,69,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,5926.645934519726,57836.79,11754.85,1,1,0,1.0
CLI_015057,2026-03-27,43,SOLTERO,UNIVERSITARIO,DESEMPLEADO,ALQUILER,2900.5472917877573,34086.05,6320.18,0,0,0,0.0
CLI_015058,2026-02-25,40,DIVORCIADO,UNIVERSITARIO,DESEMPLEADO,HIPOTECA,,34372.37,6554.82,0,0,0,2.0
CLI_015059,2026-02-27,49,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,2249.1282393146234,28716.93,8739.42,1,1,0,1.0
CLI_015060,2026-01-01,45,CASADO,POSGRADO,INDEPENDIENTE,HIPOTECA,1663.9460705905117,20744.46,2111.46,0,0,0,1.0
CLI_015061,2026-03-22,39,SOLTERO,SECUNDARIA,DEPENDIENTE,PROPIA,3707.8783160904877,3283.21,1284.29,2,0,0,0.0
CLI_015062,2026-01-02,41,SOLTERO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,3042.0368663970667,2220.95,386.48,0,0,0,1.0
CLI_015063,2026-03-25,41,SOLTERO,SECUNDARIA,DESEMPLEADO,HIPOTECA,3872.7099576469177,17143.28,2412.06,0,0,0,0.0
CLI_015064,2026-03-16,23,CASADO,POSGRADO,INDEPENDIENTE,HIPOTECA,5814.376412026726,3848.55,634.21,1,0,0,1.0
CLI_015065,2026-01-18,30,CASADO,UNIVERSITARIO,DESEMPLEADO,ALQUILER,3850.6800641781683,6860.28,2139.53,1,0,0,1.0
CLI_015066,2026-01-11,35,SOLTERO,UNIVERSITARIO,INDEPENDIENTE,HIPOTECA,4761.477589211349,4668.19,1188.4,0,0,0,0.0
CLI_015067,2026-01-11,50,DIVORCIADO,SECUNDARIA,DEPENDIENTE,PROPIA,5224.730878760405,1518.32,563.19,0,0,0,1.0
CLI_015068,2026-03-23,39,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,1213.8651990950086,13137.47,4287.34,0,0,0,1.0
CLI_015069,2026-03-07,57,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,5740.937529982634,8254.9,4725.84,0,0,0,
CLI_015070,2026-03-24,57,SOLTERO,UNIVERSITARIO,INDEPENDIENTE,HIPOTECA,5427.407727989916,21247.37,9059.94,0,0,0,2.0
CLI_015071,2026-02-11,50,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,2096.1635139497794,7122.52,4315.18,1,0,0,1.0
CLI_015072,2026-01-08,39,SOLTERO,SECUNDARIA,DEPENDIENTE,ALQUILER,1290.1184424468884,32850.09,7682.71,0,0,0,0.0
CLI_015073,2026-03-05,38,SOLTERO,SECUNDARIA,DEPENDIENTE,PROPIA,8027.6514871466625,14420.95,4235.15,0,0,0,1.0
CLI_015074,2026-01-03,30,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,2355.0213197598414,11944.63,5255.35,0,0,0,0.0
CLI_015075,2026-02-12,25,CASADO,SECUNDARIA,DEPENDIENTE,PROPIA,1958.7664754499665,13206.84,4714.05,0,0,0,0.0
CLI_015076,2026-01-04,42,SOLTERO,POSGRADO,INDEPENDIENTE,HIPOTECA,1420.1633247928835,1571.1,95.19,0,0,0,0.0
CLI_015077,2026-02-06,58,DIVORCIADO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,4607.01891218001,10764.34,2953.44,0,0,0,1.0
CLI_015078,2026-01-13,48,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,5113.222894604101,1867.37,943.34,0,0,0,0.0
CLI_015079,2026-03-23,58,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,2640.019910109816,20773.7,6882.34,0,0,0,1.0
CLI_015080,2026-01-26,28,SOLTERO,SECUNDARIA,DEPENDIENTE,HIPOTECA,5340.9543662682,32718.41,10879.37,0,0,0,1.0
CLI_015081,2026-01-20,52,CASADO,UNIVERSITARIO,DEPENDIENTE,PROPIA,2702.195153333538,1503.47,438.26,0,0,0,
CLI_015082,2026-03-12,18,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,3151.551198315091,12701.74,11311.05,0,0,0,0.0
CLI_015083,2026-03-17,39,CASADO,UNIVERSITARIO,INDEPENDIENTE,PROPIA,1558.705004417288,24318.6,1603.44,0,0,0,1.0
CLI_015084,2026-01-30,27,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,4931.917281892241,1589.64,665.63,0,0,0,2.0
CLI_015085,2026-03-04,35,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,,4604.75,3040.74,0,0,0,2.0
CLI_015086,2026-02-14,36,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,1989.3201132226168,26684.88,10918.07,0,0,0,2.0
CLI_015087,2026-01-06,48,DIVORCIADO,UNIVERSITARIO,INDEPENDIENTE,HIPOTECA,5692.070439951238,10210.64,3482.1,0,0,0,0.0
CLI_015088,2026-01-22,36,DIVORCIADO,UNIVERSITARIO,INDEPENDIENTE,HIPOTECA,4373.981869677915,17177.26,13037.24,0,0,0,2.0
CLI_015089,2026-02-09,43,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,3741.326742573396,11524.28,9720.91,0,0,0,1.0
CLI_015090,2026-03-10,39,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,8721.41492129207,3042.73,693.63,0,0,0,1.0
CLI_015091,2026-02-21,48,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,2230.022212897524,9617.74,8266.54,0,0,0,1.0
CLI_015092,2026-01-05,61,CASADO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,24103.09844056845,28989.8,9185.06,0,0,0,1.0
CLI_015093,2026-03-25,39,CASADO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,7147.9154727,7351.9,999.52,0,0,0,0.0
CLI_015094,2026-01-31,20,CASADO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,2405.183919016853,14319.56,8545.95,1,0,0,0.0
CLI_015095,2026-02-21,25,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,,12283.62,3804.06,0,0,0,1.0
CLI_015096,2026-03-08,53,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,6488.279614420813,7747.78,2415.47,1,0,1,1.0
CLI_015097,2026-03-05,41,DIVORCIADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,1238.886668395041,3173.95,1558.71,0,0,0,1.0
CLI_015098,2026-02-21,49,SOLTERO,UNIVERSITARIO,DESEMPLEADO,PROPIA,2247.4474356676606,8777.78,5418.91,0,0,0,2.0
CLI_015099,2026-02-02,37,CASADO,UNIVERSITARIO,DEPENDIENTE,PROPIA,11184.341680876676,2383.4,1016.99,0,0,0,0.0
CLI_015100,2026-01-29,38,SOLTERO,UNIVERSITARIO,INDEPENDIENTE,HIPOTECA,4651.4075405430485,17073.53,6298.72,0,0,0,0.0
CLI_015101,2026-03-24,35,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,2353.398817297969,4955.16,2744.48,0,1,0,0.0
CLI_015102,2026-03-28,38,SOLTERO,UNIVERSITARIO,INDEPENDIENTE,PROPIA,5021.195302922191,4098.92,3242.25,0,0,0,
CLI_015103,2026-03-09,46,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,6194.662805950706,8196.5,1012.1,0,0,0,0.0
CLI_015104,2026-03-01,58,DIVORCIADO,UNIVERSITARIO,DESEMPLEADO,HIPOTECA,,7328.84,846.1,0,0,0,0.0
CLI_015105,2026-03-10,35,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,4316.7783679787735,6134.38,839.73,0,0,0,0.0
CLI_015106,2026-01-16,58,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,3044.7273346493994,8314.94,3170.0,1,0,0,0.0
CLI_015107,2026-01-19,34,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,11089.14007782333,2949.89,1263.41,0,0,0,1.0
CLI_015108,2026-01-23,47,SOLTERO,POSGRADO,DEPENDIENTE,ALQUILER,3388.5981765268925,2358.02,1196.17,0,0,0,1.0
CLI_015109,2026-03-20,18,CASADO,SECUNDARIA,DEPENDIENTE,HIPOTECA,1322.3867665296918,2130.03,184.29,0,0,0,1.0
CLI_015110,2026-02-09,58,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,5697.235129093476,28531.35,13532.47,0,0,0,2.0
CLI_015111,2026-02-21,41,SOLTERO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,,57335.41,7242.26,1,0,0,0.0
CLI_015112,2026-02-25,37,CASADO,POSGRADO,DEPENDIENTE,ALQUILER,,3252.0,1891.98,0,0,0,0.0
CLI_015113,2026-02-17,67,SOLTERO,SECUNDARIA,DEPENDIENTE,HIPOTECA,3342.0490060144007,3523.11,268.66,0,0,0,0.0
CLI_015114,2026-01-26,35,SOLTERO,SECUNDARIA,INDEPENDIENTE,HIPOTECA,8885.133306049935,14767.21,2132.78,0,0,0,2.0
CLI_015115,2026-03-12,41,SOLTERO,POSGRADO,INDEPENDIENTE,HIPOTECA,4243.423179555026,2996.82,1493.95,0,0,0,1.0
CLI_015116,2026-01-21,41,CASADO,POSGRADO,DEPENDIENTE,ALQUILER,4349.338211531998,5271.56,1342.72,0,1,0,2.0
CLI_015117,2026-01-07,41,CASADO,UNIVERSITARIO,DEPENDIENTE,PROPIA,2820.6380803693746,2213.13,1071.47,0,0,0,0.0
CLI_015118,2026-03-20,22,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,7366.264900908015,25437.69,8497.06,0,0,0,1.0
CLI_015119,2026-01-26,47,CASADO,SECUNDARIA,INDEPENDIENTE,PROPIA,,24009.55,8296.11,0,1,0,3.0
CLI_015120,2026-03-07,49,CASADO,SECUNDARIA,DEPENDIENTE,PROPIA,6437.8744803394575,28305.58,7755.97,0,0,0,0.0
CLI_015121,2026-02-24,46,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,10955.157039009799,1627.32,504.11,0,0,0,1.0
CLI_015122,2026-02-15,47,DIVORCIADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,12462.344757181503,14819.8,4268.85,0,0,0,3.0
CLI_015123,2026-02-21,23,CASADO,POSGRADO,DEPENDIENTE,ALQUILER,1891.719831255802,3719.16,180.16,0,0,0,2.0
CLI_015124,2026-01-20,36,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,2302.775266160533,11675.94,7043.43,0,1,0,0.0
CLI_015125,2026-01-14,28,DIVORCIADO,SECUNDARIA,DEPENDIENTE,ALQUILER,3966.4919422063713,45612.56,26160.11,0,0,0,0.0
CLI_015126,2026-01-02,46,DIVORCIADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,2033.7891380125388,27441.08,12658.3,0,0,0,0.0
CLI_015127,2026-01-16,27,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,4736.689236770359,48304.01,468.04,0,0,0,1.0
CLI_015128,2026-02-14,51,CASADO,UNIVERSITARIO,INDEPENDIENTE,HIPOTECA,1263.87628341381,18944.78,7284.19,0,1,0,1.0
CLI_015129,2026-02-06,38,SOLTERO,SECUNDARIA,INDEPENDIENTE,PROPIA,3032.7899708804807,13651.64,4402.41,0,0,0,3.0
CLI_015130,2026-01-01,41,CASADO,UNIVERSITARIO,DESEMPLEADO,PROPIA,10385.805754098665,4247.79,905.21,0,0,0,2.0
CLI_015131,2026-03-13,26,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,3559.283230915882,14827.54,3436.66,0,0,0,0.0
CLI_015132,2026-03-23,57,CASADO,UNIVERSITARIO,INDEPENDIENTE,PROPIA,5833.629489075527,24190.68,12264.68,0,0,1,2.0
CLI_015133,2026-01-14,42,SOLTERO,SECUNDARIA,DEPENDIENTE,ALQUILER,2846.2017059249392,35070.35,9683.9,1,0,0,1.0
CLI_015134,2026-01-21,50,CASADO,POSGRADO,DEPENDIENTE,ALQUILER,21273.653740706784,21008.59,12838.29,0,0,0,2.0
CLI_015135,2026-03-07,43,CASADO,SECUNDARIA,DEPENDIENTE,PROPIA,1456.975959392752,5676.12,3526.24,0,0,0,2.0
CLI_015136,2026-01-01,34,SOLTERO,UNIVERSITARIO,INDEPENDIENTE,HIPOTECA,2961.4460792289838,10215.82,3530.2,2,0,0,0.0
CLI_015137,2026-02-18,32,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,1648.6472850684381,16504.05,3678.66,0,0,0,2.0
CLI_015138,2026-02-20,27,SOLTERO,UNIVERSITARIO,INDEPENDIENTE,PROPIA,10501.151246547703,35378.98,684.59,1,0,0,0.0
CLI_015139,2026-03-16,40,CASADO,UNIVERSITARIO,DEPENDIENTE,PROPIA,9050.736921871268,98700.6,42961.24,0,0,0,1.0
CLI_015140,2026-01-07,40,SOLTERO,SECUNDARIA,DESEMPLEADO,HIPOTECA,4002.814172395783,3793.17,2181.47,0,0,0,0.0
CLI_015141,2026-01-22,39,SOLTERO,UNIVERSITARIO,DESEMPLEADO,PROPIA,,14310.45,3832.56,0,0,0,1.0
CLI_015142,2026-01-29,41,CASADO,SECUNDARIA,DEPENDIENTE,HIPOTECA,8689.023481470624,3600.78,275.35,0,0,0,1.0
CLI_015143,2026-01-05,49,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,3762.97762551278,27703.38,13676.38,0,0,0,1.0
CLI_015144,2026-01-24,40,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,4613.339341903483,8573.54,2060.53,0,0,0,1.0
CLI_015145,2026-03-06,54,SOLTERO,POSGRADO,DEPENDIENTE,PROPIA,3988.497923023319,5334.71,2477.12,0,0,0,0.0
CLI_015146,2026-01-23,35,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,4628.9712582359625,5084.11,3851.76,0,0,0,1.0
CLI_015147,2026-02-02,46,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,1226.2782258519865,36497.78,13138.32,0,0,0,2.0
CLI_015148,2026-01-19,39,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,1842.550928511635,11268.26,2011.09,0,0,0,0.0
CLI_015149,2026-02-19,30,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,2993.6186229302134,14483.33,3396.83,1,0,1,2.0
CLI_015150,2026-02-14,31,CASADO,UNIVERSITARIO,INDEPENDIENTE,HIPOTECA,3030.9760717037593,17297.43,451.65,0,0,0,1.0
CLI_015151,2026-01-28,58,DIVORCIADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,1105.6041718263373,2456.26,1141.79,0,0,0,0.0
CLI_015152,2026-01-03,43,DIVORCIADO,UNIVERSITARIO,INDEPENDIENTE,HIPOTECA,2001.8854296264976,9699.41,4080.53,0,0,0,0.0
CLI_015153,2026-02-12,47,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,4482.994595195175,3691.41,436.55,0,0,0,3.0
CLI_015154,2026-02-06,49,SOLTERO,POSGRADO,DEPENDIENTE,PROPIA,1277.7208866206288,10854.53,373.04,0,0,0,0.0
CLI_015155,2026-02-20,45,CASADO,SECUNDARIA,DEPENDIENTE,PROPIA,7700.190789780997,10305.84,2207.2,0,0,0,1.0
CLI_015156,2026-03-09,41,SOLTERO,SECUNDARIA,DEPENDIENTE,PROPIA,3965.640883561594,10338.4,2898.33,0,0,0,1.0
CLI_015157,2026-03-22,24,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,3405.550239760463,2480.91,413.97,0,0,0,1.0
CLI_015158,2026-01-07,42,SOLTERO,POSGRADO,INDEPENDIENTE,ALQUILER,2587.5549912123843,29482.72,4236.17,2,0,0,
CLI_015159,2026-02-24,44,DIVORCIADO,SECUNDARIA,DEPENDIENTE,PROPIA,9830.374227955475,5731.73,2077.09,1,0,0,2.0
CLI_015160,2026-02-20,51,DIVORCIADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,5762.680675869752,10163.38,3120.82,0,0,0,0.0
CLI_015161,2026-02-19,42,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,2082.675617121892,3901.47,2294.92,0,0,0,1.0
CLI_015162,2026-03-24,42,DIVORCIADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,6256.036325152781,1968.55,377.25,0,0,0,1.0
CLI_015163,2026-03-30,48,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,5421.387913186284,7586.86,6727.76,0,0,0,1.0
CLI_015164,2026-01-17,52,SOLTERO,POSGRADO,DEPENDIENTE,ALQUILER,1487.5227466425144,18239.92,6547.07,0,1,1,2.0
CLI_015165,2026-03-17,45,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,2926.4982771823265,14813.78,9290.69,0,0,0,0.0
CLI_015166,2026-01-27,34,DIVORCIADO,UNIVERSITARIO,DESEMPLEADO,HIPOTECA,5440.553479221597,49058.4,26063.95,0,0,0,0.0
CLI_015167,2026-02-22,34,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,,45592.41,15873.74,0,0,0,2.0
CLI_015168,2026-01-10,39,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,4159.5979429992,14101.94,3191.31,0,0,0,1.0
CLI_015169,2026-02-22,33,DIVORCIADO,SECUNDARIA,DEPENDIENTE,ALQUILER,6410.479788823676,5743.59,1532.51,0,0,0,2.0
CLI_015170,2026-02-01,22,SOLTERO,SECUNDARIA,DEPENDIENTE,HIPOTECA,3109.8682289053286,3042.74,186.89,0,0,0,
CLI_015171,2026-01-21,38,SOLTERO,POSGRADO,DEPENDIENTE,PROPIA,10482.933622106708,22794.88,5006.83,0,0,0,1.0
CLI_015172,2026-01-04,47,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,7332.547558503151,2993.64,1170.97,0,0,0,4.0
CLI_015173,2026-02-24,43,SOLTERO,SECUNDARIA,INDEPENDIENTE,PROPIA,1502.1016713439824,4092.14,1400.85,0,1,0,1.0
CLI_015174,2026-01-26,31,SOLTERO,UNIVERSITARIO,INDEPENDIENTE,PROPIA,13860.606165862098,11581.44,4478.47,0,0,0,2.0
CLI_015175,2026-03-23,46,SOLTERO,SECUNDARIA,DEPENDIENTE,ALQUILER,5036.790845641024,29681.72,5894.72,0,0,0,2.0
